video id,views,likes,dislikes,comment_count
k1cA-Wh3Tc0,"2,065,937","31,550","2,329","8,325"
9SK1I0V6U5c,"11,385,542","206,112","3,649","9,781"
Mn-3c6of8t8,0,0,0,0
eQVhAN7-IAw,"2,616,785","88,397","1,217",0
TN5jzDgORqQ,"831,686","5,435",376,396
9Ca8zWJOlFQ,"5,138,054","120,533","6,283","15,374"
CtBca6H6Teg,"2,101,006","42,389",642,"4,438"
mcqWcLDUeag,0,0,0,0
4SANXNco_y4,"261,211","5,627",248,448
-oXybog2IuI,"69,642","1,804",25,154
pcWKpGzhgq4,"1,786,394","16,411",283,660
L3br0klRqF4,"175,931",697,350,450
oRF2-ZloSqg,"1,082,689","20,168",613,"2,053"
g0K5QoEj7FQ,"60,207",220,152,100
lzgQrHFDNLE,"411,053","10,910","1,237",923
qDAxDcjgn-8,"635,518","15,899","1,402","3,258"
0ANDjPQPS_Q,"39,165","3,757",101,477
p2EY93WfBQk,"639,571","37,360",744,"2,459"
4ftGS_6i7mM,"41,541",140,17,33
9kF9xY74h-E,"2,871,088","220,370",931,"10,764"
vZzIS17HexE,"62,856",788,118,93
Y9nDagqKL7Q,"1,563,317","55,413",623,"2,352"
upEIZAihcwo,0,0,0,0
KJ12FVmumeA,"367,894","1,808",293,909
2kyS6SvSYSE,"2,921,829","102,691","8,351","22,084"
815lSYphlbw,"487,770","10,234",144,919
DbJ2s_g1oDc,"1,809,344","33,497","1,564","2,816"
Jidk0O6uu-0,"121,448","5,655",63,529
E_86MEdNsAI,"529,833","17,498",225,"1,607"
64IIfxDrhJY,"135,958","1,101",51,185
1ZAPwfrtAFY,"11,505,577","191,449","14,559","22,015"
gHZ1Qz0KiKM,"1,855,425","31,944","3,347","3,594"
k-w8GxCpsCU,"11,078",65,1,5
Cr9oGxr0Qa0,"433,939","12,783",159,"1,221"
l4bAoNAx2uo,"4,758,344","58,160","13,419","31,513"
yxFdue1dCtE,"144,999","2,046",70,273
aAm6AHr14zY,0,0,0,0
