video_id,publish_time,views,likes,dislikes,comment_count,new_views,new likes,new dislikes,new comment_count,views_change,likes_change,dislikes_change,comment_count_change
YbHdBoHMxK4,2017-11-17T08:00:02.000Z,35511.0,2016.0,11.0,69.0,5266334.0,73980.0,946.0,515.0,5230823.0,71964.0,935.0,446.0
aHKzU_rXdw8,2017-11-17T08:02:57.000Z,129071.0,12681.0,83.0,789.0,1722160.0,40274.0,512.0,1255.0,1593089.0,27593.0,429.0,466.0
rutlOmdgqgI,2017-11-17T08:00:06.000Z,7840.0,253.0,17.0,36.0,191562.0,765.0,54.0,51.0,183722.0,512.0,37.0,15.0
nUv22OHdjQU,2017-11-20T03:20:47.000Z,1819783.0,17552.0,6131.0,7955.0,4657945.0,39945.0,9077.0,0.0,2838162.0,22393.0,2946.0,-7955.0
fEjag-a7TyU,2017-11-20T13:40:31.000Z,1251416.0,10836.0,568.0,757.0,1316747.0,11071.0,580.0,1106.0,65331.0,235.0,12.0,349.0
3k6RD9zVvpE,2017-11-20T21:07:17.000Z,3203154.0,197222.0,1453.0,11330.0,13873334.0,415468.0,3691.0,20512.0,10670180.0,218246.0,2238.0,9182.0
-El8z4uy5Ac,2017-11-20T17:00:00.000Z,639982.0,16519.0,1243.0,1739.0,1110314.0,22557.0,1534.0,2472.0,470332.0,6038.0,291.0,733.0
w2Es7-c9GAk,2017-11-20T04:59:46.000Z,2049961.0,9814.0,2630.0,2153.0,2397831.0,11086.0,2748.0,1891.0,347870.0,1272.0,118.0,-262.0
B-PVT_rclnM,2017-11-20T18:30:01.000Z,522265.0,25431.0,802.0,1171.0,1055421.0,40061.0,1168.0,1626.0,533156.0,14630.0,366.0,455.0
6LuHS7ZeSjE,2017-11-20T17:00:01.000Z,1112006.0,38196.0,1299.0,2436.0,3791812.0,66893.0,1978.0,2808.0,2679806.0,28697.0,679.0,372.0
R8hccXRk3MI,2017-11-20T11:00:03.000Z,639536.0,9718.0,1536.0,1004.0,726556.0,10590.0,1583.0,0.0,87020.0,872.0,47.0,-1004.0
