video id,views
26qOMpjicGs,"792,493"
WMefea9aYNA,"19,678"
3TwiPa39WnM,"530,833"
QFY79W78ZsY,0,0,0,0
9o2FXVhjLyY,"160,030"
NBYL_QwYhjs,"364,848"
6DuLfoU3apA,"19,531"
caCdf94Blfw,"2,245,661"
O6K0ZPRqzFU,0,0,0,0
5g20u8EfMdg,"974,525"
z91xQ5u-_wY,"81,062"
lrWRy9BBp-c,"7,388,316"
TKhRjduXFEM,"52,421"
-kETYvHON_I,"1,765,528"
mB2UTIkgY1I,"344,095"
oWjxSkJpxFU,"29,791,228"
txHbh2PAeV4,"625,589"
lk8lozFBXpo,"5,653,828"
gvuvxLzUB-w,"217,345"
No35-c4zXjo,"2,345,012"
MLVcmQ62luE,"12,443,079"
vAh7jTAkCKc,"21,167,523"
V4dqF7UOspg,"12,600"
8MPbR6Cbwi4,"254,442,384"
8BAhwgjMvnM,"14,291,342"
Mhzmc7LRIGo,"10,123,647"
dZWNPEC6SIw,"1,539,061"
Q1CFfU2gXHw,"104,160"
kfPNxNIDHrA,"1,433,381"
ZJkc_C5-Cd8,"3,864,198"
Y-iFgDK_D5s,"24,853,927"
Cd2Ue_xw1oo,"10,172"
pkwSoJrVWAY,"7,546"
zkG4Xpz6t68,"113,311,742"
eEDZuFw34YM,"1,743,120"
WB8ozD7l02w,"845,026"
gC3Y7SowqwA,"135,909"
OGYASOBiU_E,"5,923,140"
Wk6Z7HLpx8s,"1,445,290"
hcfMZ6qjdXM,"25,377"
_QufBstcsrc,"306,854"
2fxqFJsvus4,"2,020,826"
CWAX-tiepMo,"2,361,071"
w6rzRBHy1tk,"520,364"
xIbQZpwVweE,"366,937"
dOv-1NG-YKc,"1,053,577"
zsbT6NMUrSk,"220,040"
Di4QJUCElgs,"294,491"
VRJmcxCrAOA,"104,341,812"
vCWrArYJntc,"787,444"
iuBPpEkUi8I,"504,283"
PKP8Mimj3QI,"159,931"
mdyegeGkdL4,0,0,0,0
CZ7KRUYQyKE,"1,901,853"
yKVAhDbSito,"4,492,022"
AuWwlxym68g,"1,465,411"
akNs04ef_Co,"1,067,211"
Epm5_DSfMn4,"36,352"
0GQmGOju6CE,"2,926,067"
rBUjOY12gJA,"1,975,435"
leHtDz4Mj0M,"109,483"
X41ArlJVNYc,"720,104"
