views_change,likes,dislikes,comment_count,views,publish_time
50112,581,118,62,27871,214
153630,4761,88,668,186280,215
204346,5147,57,187,205209,218
2977282,11650,368,1255,869422,219
569544,78447,1293,3345,1285332,220
156663,14979,3752,2695,661818,221
3029358,9126,1759,935,2726643,222
124242,11869,991,4482,756023,212
238226,169227,10605,16846,3536070,215
26776,2510,269,589,89218,214
1510324,19099,231,616,544511,216
103228,0,0,194,202879,218
6438,1347,115,77,92030,216
1790303,19690,379,511,718026,218
344488,9808,120,507,257992,219
734195,30865,1173,6821,2953664,212
1637776,7171,327,1203,340311,213
361048,35610,568,1986,515855,214
269812,18196,349,1599,633241,215
521085,8909,211,1013,352667,216
63882,4771,238,512,168909,217
85147924,450885,10280,19437,18312570,219
274192,10933,339,2139,519214,218
14195550,440650,19239,48269,34269048,212
845942,11239,156,1177,448169,212
10120,1951,110,162,121157,212
107819,4759,59,176,189102,213
14588285,64947,560,2023,2004629,213
590939,61500,1572,5610,2822715,214
277548,11906,258,533,370450,215
1523337,61211,333,3548,726422,216
3579001,7344,489,2197,470082,217
496480,60432,2033,3320,1918478,211
1239803,51118,2642,14187,846278,212
37258,4092,74,165,107255,211
202396,2874,109,395,173700,215
7984346,204630,6097,8952,5122352,218
42912435,809476,18295,66540,19586636,211
247027,1549,154,189,220428,212
640017,4891,212,340,295145,211
67245,21236,733,1357,460847,212
1852069,2820,24,216,68885,213
102204,740,58,60,149034,213
599786,18772,220,1221,472002,215
988653,14684,635,754,320395,215
863613,74302,13520,9547,3372271,218
4549021,38187,1960,5490,2093619,209
778442,23551,595,2675,548892,209
51896,3859,109,729,72999,211
13529,8909,164,473,139884,211
132466,589,78,183,100291,213
1858697,10325,322,1209,286804,214
340529,75585,1603,6586,1649348,216
12590,3377,1341,2044,689798,207
925750,21014,7880,4213,2300863,209
99874,23899,486,1749,348104,208
1613175,32895,1240,2020,1327815,211
39318,6596,255,1417,272661,211
110511,10697,389,1035,266142,211
132921,5002,1019,564,313927,212
18563682,129381,1522,8757,2425578,213
2078169,28418,1138,4565,5389292,214
185977,33331,435,5212,432552,215
2349928,91743,9507,20462,2579421,207
866118,5109,1672,5676,265096,206
164819,15946,578,2709,402402,207
6522606,31386,367,733,1542832,208
71290001,85230,2612,13141,7628116,210
727680,13307,539,1038,530299,212
1932466,4331,77,269,69407,211
9180026,262753,2490,31844,3738646,204
630393,9189,99,478,258850,206
24118,6447,1167,9963,1277833,207
103294,8388,930,1382,1721076,208
2848,356,671,1349,41253,207
5920,1170,61,560,36457,208
67945850,242098,4514,11671,6010383,211
34710532,117794,1851,2785,3622209,211
311876,11614,5010,4159,1129249,204
455377,4881,290,1569,707341,205
52625,3300,64,160,79124,206
628204,39673,779,4280,536775,207
2050268,23689,1798,2662,2684509,208
14846,631,266,1056,331315,209
202758,20927,334,2230,520338,210
103374,578,13,30,172551,208
19987,11154,334,1072,215237,211
66730,3206,259,596,139039,203
53930,7430,398,992,347257,204
524914,277570,8522,37011,3611833,206
151552,16939,607,1467,2126462,208
1866164,44765,2565,2697,1628628,207
31232,3241,48,154,128412,207
26282,4721,201,451,94234,208
139858,157,5,33,89049,211
308205,7141,478,1280,370239,210
436891,11856,433,1630,656819,203
36121,10889,384,888,194283,203
8644,359,72,292,107907,203
143360,12069,1274,1453,784713,206
2297303,165337,2113,12582,3021666,205
18516870,632830,9098,35617,18094162,208
235226,2268,103,268,111950,207
125091,12436,170,1290,184312,209
6341,611,11,62,28448,209
1800946,71645,611,3604,1322797,201
32711,3297,132,196,276711,201
1141,2728,2704,3426,152933,203
3505789,201146,3205,17552,4307840,205
3102,72,4,8,8659,203
88135,1764,31,117,41375,205
