video_id,publish_time,views,likes,dislikes,comment_count,new_views,views_change
LgmxMuW6Fsc,2017-11-23T20:04:44.000Z,7967275.0,91200.0,4803.0,5805.0,13758540.0,5791265.0
AcoALQl7jfA,2017-11-24T11:00:03.000Z,415263.0,4192.0,474.0,631.0,523088.0,107825.0
kn4kBibdlWA,2017-11-24T05:59:01.000Z,784451.0,6845.0,772.0,758.0,1924905.0,1140454.0
uUvgMnzplt4,2017-11-23T21:00:59.000Z,2263186.0,144938.0,1736.0,11631.0,5187254.0,2924068.0
IumYMCllMsM,2017-11-23T11:08:00.000Z,3202879.0,110088.0,1728.0,3623.0,91181691.0,87978812.0
hGoQ44SfV-c,2017-11-24T11:54:11.000Z,714359.0,9635.0,808.0,2025.0,1706853.0,992494.0
UiWGp8dFr5k,2017-11-23T09:35:00.000Z,333626.0,3264.0,286.0,367.0,523347.0,189721.0
_r9GPgvN8As,2017-11-23T00:00:26.000Z,769805.0,7621.0,481.0,979.0,1404056.0,634251.0
yTyLXFAIfOI,2017-11-23T16:00:05.000Z,52109.0,1411.0,50.0,164.0,315755.0,263646.0
PE7ZhHirBFk,2017-11-22T13:34:51.000Z,22786.0,1349.0,25.0,221.0,34255.0,11469.0
VdugkldCx10,2017-11-21T20:00:01.000Z,284176.0,9477.0,271.0,532.0,2895299.0,2611123.0
wFEAoF7RC7Y,2008-06-17T00:07:56.000Z,86897.0,469.0,4.0,106.0,96478.0,9581.0
MfLcjWq6m9o,2017-11-22T10:00:01.000Z,29725.0,872.0,34.0,47.0,75512.0,45787.0
RO41_2cWSXA,2017-11-22T01:59:57.000Z,28607.0,2098.0,91.0,359.0,62416.0,33809.0
QY83PJXQYXc,2017-11-22T02:22:03.000Z,28091.0,1614.0,44.0,260.0,46139.0,18048.0
QME3eyBXqpU,2017-11-21T21:17:44.000Z,327739.0,6231.0,52.0,160.0,409534.0,81795.0
yef_HfQoBd8,2017-11-25T14:30:01.000Z,1776191.0,21783.0,1286.0,2426.0,3126193.0,1350002.0
JANApS0P4z8,2017-11-25T15:00:03.000Z,2952730.0,117504.0,4117.0,7050.0,5119434.0,2166704.0
CzCfd0eaWoA,2017-11-25T19:10:01.000Z,1361969.0,90736.0,1102.0,8234.0,1775393.0,413424.0
nGv8FK28g4s,2017-11-25T21:00:01.000Z,402509.0,14694.0,812.0,1561.0,541702.0,139193.0
AxWxJNHoLC8,2017-11-25T22:00:07.000Z,819692.0,19897.0,1597.0,2355.0,1077836.0,258144.0
qKh7JdoPZz4,2017-11-25T21:07:04.000Z,294007.0,29017.0,251.0,6890.0,784539.0,490532.0
dHDn26UX4aw,2017-11-24T19:06:37.000Z,872663.0,12449.0,1267.0,1857.0,926355.0,53692.0
gwrfwx1QcDQ,2017-11-24T21:06:50.000Z,2127874.0,286258.0,1796.0,44520.0,4325518.0,2197644.0
hXzcIoq2ing,2017-11-24T18:35:34.000Z,633103.0,23991.0,820.0,2582.0,1011107.0,378004.0
U22EEAK_VLc,2017-11-25T17:38:50.000Z,148590.0,5182.0,169.0,270.0,184001.0,35411.0
VQdKe6_3PAU,2017-11-25T02:51:47.000Z,145560.0,5114.0,232.0,670.0,393377.0,247817.0
jLZuaFZWa7A,2017-11-24T20:30:01.000Z,746691.0,19242.0,961.0,3050.0,1453509.0,706818.0
xArN1yUcXXc,2017-11-25T18:00:04.000Z,189308.0,2394.0,362.0,263.0,771384.0,582076.0
aobdrJr6UaE,2017-11-25T20:30:00.000Z,123804.0,4136.0,463.0,519.0,165888.0,42084.0
AFZZNlog8sA,2017-11-24T16:30:36.000Z,28434.0,387.0,32.0,45.0,294403.0,265969.0
07bTt0BTi-U,2017-11-23T02:12:48.000Z,729500.0,22885.0,751.0,3235.0,2117747.0,1388247.0
